Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
10391,327 Castile Way,1715000.0,"Stunningly Beautiful Inside & Out perfectly describes this home! Located in the most sought after & desirable Avalon Terrace community of South San Francisco! This home is well maintained & features 5+ rooms, 3 bathrooms & the loft that can be easily converted into 6th b/r & includes cabinets-enough to be counted as a room, Brazilian Cherry h/w floors throughout 1st flr, recessed LED lights & 1 year old garage doors! The lovely chandelier complements the soaring 19 ft. high ceiling living room! The formal dining room opens up to the functional kitchen & living room whc provides an open feel concept! Cozy up with your loved ones in front of the fireplace in the inviting family room! A room and a full bathroom downstairs, custom crown moldings throughout the house including all rooms, three car garage with ample custom made cabinets! Master b/r with huge walk-in closet! New carpet upstairs! New interior paint & more! Check this out: https://vimeo.com/404209551",SingleFamily,1999.0,Forced Air,No Air Conditioning,Attached,5662.8,6,3.0,,2750.0,3.0,3.0,South San Francisco,Ponderosa Elementary School,6.0,0.3,Alta Loma Middle School,5.0,1.5,South San Francisco High School,5.0,0.5,"Carpet, Hardwood, Tile",Forced Air,No Air Conditioning,"Dryer, Washer, Dishwasher, Disposal, Microwave, Oven, Range, Refrigerator","Dryer, Laundry Room, Washer",Attached,1611000.0,17878.0,2020-04-05,1680000.0,2005-12-20,1375000.0,South San Francisco,94080,CA
38445,336 Market St,1856500.0,"Rare corner-lot, 2-story Single Family at Santina Los Gatos- one of the Bay Area's most desirable addresses.Â The impressive design features an open and airy floor plan ideal for everyday life at home.Â Sought after ground floor bedroom and full bath. Stunning kitchen features island, abundant cabinets, high-end Monogram appliances, and bar seating. Large family room ideal for family gathering or indoor gym.Â Low-maintenance backyard and potential to convert side yard to mini-golf. Owned solar panels, EV charger, NEST thermostats. Gorgeous designer-selected finishes throughout the home. Hardwood floor. Close to Netflix, Bay Club, golf courts & Los Gatos/Campbell downtown. Numerous outdoor activities, shopping & dining possibilities. Distinguished public schools, and close to excellent private schools like Harker, St. Andrew's, Hillbrook, Challenger, and Strafford.

Good natural light throughout the day from the morning wake up sunlight in the master bedroom to evening light in the kitchen and living room.",SingleFamily,2017.0,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",2692.0,"Ground Floor Bedroom, Walk-in Closet",3.0,3.0,2165.0,2.0,2.0,Los Gatos,Capri Elementary School,6.0,0.2,Rolling Hills Middle School,7.0,1.4,Westmont High School,7.0,1.5,Hardwood,"Forced air, Electric",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",1849827.0,22949.0,2020-10-20,1799000.0,2017-10-20,1778000.0,Los Gatos,95032,CA
27058,1439 Bouret Dr,1100000.0,"You must see this lovingly renovated home on a pleasant, quiet, tree-lined corner lot in the heart of the highly desirable Cambrian neighborhood of San Jose. A professionally landscaped front yard is set off by a driveway and walkway of pavers. The upgraded kitchen features newer appliances and new designer lighting. The living room features a wood burning fireplace and new carpet. Gleaming hardwood floors in the bedrooms and upgraded modern bathrooms complete the main rooms of this gorgeous home. Other upgrades and amenities include fresh designer exterior and interior paint, double pane windows, new brushed nickel door hardware, copper supply pipes, and central heat and air conditioning.  Convenient to shopping and major thoroughfares, yet perfectly situated in a serene neighborhood.",SingleFamily,1963.0,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",6599.0,3,2.0,2.0,1188.0,2.0,2.0,San Jose,Almaden Elementary School,4.0,0.4,John Muir Middle School,5.0,0.7,Pioneer High School,7.0,0.6,,"Forced air, Gas",Central,,,"Garage, Garage - Attached, Covered",134573.0,2804.0,2020-08-28,1039900.0,,,San Jose,95118,CA
21222,1836 Circulo Canada UNIT 12,150000.0,"Beautiful property located nestled in between mountain ranges, if you are looking for a place that is nice, quiet and not too far from the freeway this is the place to be. Welcome home!",SingleFamily,2007.0,Heat Pump,Central,"Garage, Garage - Attached, Covered",11325.6,3,2.0,2.0,1133.0,2.0,2.0,Rio Rico,San Cayetano Elementary School,5.0,4.2,Coatimundi Middle School,6.0,6.5,Rio Rico High School,5.0,4.4,"Tile, Carpet","Heat pump, Electric",Central,Range / Oven,Room,"Garage, Garage - Attached, Covered",84112.0,896.0,2020-07-01,150000.0,2012-02-24,80000.0,Rio Rico,85648,AZ
24578,887 College Dr,1182000.0,"887 College Dr, San Jose, CA 95128 is a single family home that contains 1,556 sq ft and was built in 1955. It contains 3 bedrooms and 2 bathrooms. This home last sold for $1,182,000 in September 2020. 
 
The Zestimate for this house is $1,219,656. The Rent Zestimate for this home is $3,750/mo.",SingleFamily,1955.0,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",6080.0,3,2.0,2.0,1556.0,2.0,2.0,San Jose,Sherman Oaks Elementary School,4.0,0.4,Monroe Middle School,4.0,1.5,Del Mar High School,5.0,0.7,"Tile, Wood, Carpet",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",731883.0,10210.0,2020-07-20,1188888.0,2013-03-05,650000.0,Santa Clara,95053,CA
9841,1135 Danbury Dr,1735000.0,"Great lot to build your dream home.  Great schools: Lynbrook, Miller, Meyerholz.  Great location.  Close to Parks, Library, community pool (membership), Grocery stores, restaurants, and more.",SingleFamily,1957.0,Central Forced Air,None,"Garage, Garage - Attached, Covered",7152.0,4,2.0,2.0,1641.0,2.0,2.0,San Jose,R. I. Meyerholz Elementary School,8.0,0.4,Joaquin Miller Middle School,9.0,0.5,Lynbrook High School,10.0,1.0,,Forced air,None,,,"Garage, Garage - Attached, Covered",88449.0,2211.0,2020-04-21,1800000.0,,,San Jose,95129,CA
38643,9048 Krueger St,2300000.0,"-Located in the Best Pocket of Culver City   -Situated 50-FT from the New Amazon Studios & Culver Studios    -Six Bungalow-Style 1-Bedroom/1-Bathroom Units on Large 11,659-Square Foot Lot   -One of the Six Units is Currently Vacant    -Walking Distance to Retail Shopping, Restaurants & Entertainment of Downtown Culver City    -6 Garage Parking Spaces    -Located a Short Distance from the New One Culver Building, Equinox, Sony Pictures, Culver Steps & New Ivy Station",Unknown,1947.0,,,Garage,,,,,,6.0,6.0,Culver City,Linwood E. Howe Elementary School,6.0,0.2,Culver City Middle School,7.0,1.3,Culver City High School,8.0,1.3,,,,,,Garage,669946.0,13386.0,2020-07-08,2550000.0,,,Culver City,90232,CA
31733,10315 S Freeman Ave,639000.0,"Charming 3 bedroom, 2 bathroom house, with dinning room. Property has a good size yard with fruit trees. Owner has well maintained the property, and has a 2 year old roof. House is walking distance from Dolores Huerta Elementary School. Also very convenient to the new Construction of the development of Inglewood and the new Stadium.",SingleFamily,1941.0,Wall Furnace,None,Garage,5594.0,3,2.0,2.0,1328.0,2.0,2.0,Inglewood,Dolores Huerta Elementary School,6.0,0.2,Lennox Middle School,5.0,1.1,Lawndale High School,4.0,3.0,,Wall Furnace,None,,In Kitchen,Garage,419785.0,6544.0,2020-08-25,639000.0,2011-05-13,250000.0,Inglewood,90304,CA
23909,20550 State Route 89,350000.0,"Well maintained, comfortable home on a beautiful large lot w/tall pines &  irrigation ditch behind that runs seasonally & provides a nice backyard ambiance. The home shows beautifully. Main level offers spacious living room w/efficient pellet stove on brick hearth, slider to the patio & a bar. Kitchen has stainless appliances, ample cabinetry. 1 bedroom on main level & full bath. Huge master upstairs w/beautiful bathroom, large closets, 3rd bedroom & 1/2 bath. Garage & workshop, 2 large sheds. Nice setting!",SingleFamily,1978.0,Fireplace(s),,"Garage, Garage - Detached, Covered",26571.6,3,3.0,2.0,2005.0,1.0,1.0,Markleeville,Diamond Valley Elementary School,7.0,7.5,,,,,,,"Carpet, Laminate, Sheet Vinyl","Wall, Electric",,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",,"Garage, Garage - Detached, Covered",285994.0,,2020-05-16,359000.0,2013-05-24,254000.0,Markleeville,96120,CA
29223,1215 N Olive Dr APT 307,630000.0,"Pristine Contemporary West Hollywood Condo! Welcome to this expansive one bed, one bath, plus a den, condo boasting approx. 1,033 SF in a prime WeHo location. Open living and recessed lighting throughout leads you by a gas fireplace, past a cutout wall looking into a  den, leading to a private patio perfect for al fresco dining. A modern kitchen boasts travertine backsplash, black marble counter tops, white and gray cabinetry and stainless steel appliances. The master suite has a spacious walk-in closet, built-in cabinetry with accent lighting and an en suite bathroom with dual vanities, separate shower and tub. Complex amenities include a sparkling pool and spa, lounge room and laundry room. Minutes from Beverly Hills, the Pacific Design Center, the Farmers Market and the city's best shopping, dining, and nightlife, don’t miss this pristine WeHo condo!",Condo,1973.0,Central,Central Air,"Assigned, Gated, Parking Space, Underground",,2,1.0,1.0,1033.0,1.0,1.0,West Hollywood,West Hollywood Elementary School,9.0,0.8,Hubert Howe Bancroft Middle School,3.0,2.3,Fairfax Senior High School,7.0,1.1,"Carpet, Tile",Central,Central Air,"Dishwasher, Electric Range, Disposal, Ice Maker, Microwave, Refrigerator",Community,"Assigned, Gated, Parking Space, Underground",330931.0,4230.0,2020-08-10,698000.0,2002-03-20,245000.0,West Hollywood,90069,CA
